House,Date,Con,Lab,LD,UKIP
YouGov/Sunday Times, 2013-01-18,33,42,11,7
YouGov/Sun, 2013-01-17,34,44,9,8
YouGov/Sun, 2013-01-16,33,42,12,8
YouGov/Sun, 2013-01-15,32,44,10,9
YouGov/Sun, 2013-01-14,31,44,11,9
TNS BMRB/, 2013-01-14,31,37,9,13
Ipsos-MORI/Evening Standard, 2013-01-14,30,43,8,9
Opinium/Observer, 2013-01-11,31,41,7,12
Angus Reid/, 2013-01-11,27,42,10,11
YouGov/Sunday Times, 2013-01-11,31,44,11,8
YouGov/Sun, 2013-01-10,31,42,11,10
YouGov/Sun, 2013-01-09,33,43,10,10
YouGov/Sun, 2013-01-08,32,44,10,9
YouGov/Sun, 2013-01-07,32,41,11,9
TNS BMRB/, 2013-01-07,29,39,10,12
Survation/Mail on Sunday, 2013-01-04,29,38,11,16
YouGov/Sunday Times, 2013-01-04,32,43,10,9
YouGov/Sun, 2013-01-03,32,43,10,9
YouGov/Sun, 2013-01-02,31,43,11,9
Opinium/Observer, 2012-12-27,29,39,8,15
ICM/Guardian, 2012-12-23,32,40,13,7
YouGov/Sunday Times, 2012-12-21,33,43,10,8
YouGov/Sun, 2012-12-20,33,41,11,10
YouGov/Sun, 2012-12-19,30,43,11,10
YouGov/Sun, 2012-12-18,32,43,9,10
YouGov/Sun, 2012-12-17,31,43,9,11
TNS BMRB/, 2012-12-17,30,40,7,12
Populus/Times, 2012-12-16,29,40,11,11
ComRes/Independent, 2012-12-16,31,42,10,9
Survation/Mail on Sunday, 2012-12-14,30,38,9,14
ComRes/Independent on Sunday (O), 2012-12-14,28,39,9,14
YouGov/Sunday Times, 2012-12-14,33,45,9,8
Opinium/Observer, 2012-12-13,29,39,8,14
YouGov/Sun, 2012-12-13,33,43,9,10
YouGov/Sun, 2012-12-12,31,44,12,9
YouGov/Sun, 2012-12-11,31,43,10,9
YouGov/Sun, 2012-12-10,33,42,10,8
Ipsos-MORI/Evening Standard, 2012-12-10,35,44,9,7
TNS BMRB/, 2012-12-10,26,41,8,16
YouGov/Sunday Times, 2012-12-07,33,42,10,9
YouGov/Sun, 2012-12-06,32,42,10,9
YouGov/Sun, 2012-12-05,32,44,9,10
YouGov/Sun, 2012-12-04,30,44,11,10
YouGov/Sun, 2012-12-03,31,43,11,10
TNS BMRB/, 2012-12-03,28,40,10,12
YouGov/Sunday Times, 2012-12-01,31,44,10,10
Angus Reid/, 2012-11-29,28,42,10,11
Opinium/Observer, 2012-11-29,29,38,9,13
YouGov/Sun, 2012-11-29,32,42,10,10
YouGov/Sun, 2012-11-28,32,44,11,8
YouGov/Sun, 2012-11-27,31,43,9,11
YouGov/Sun, 2012-11-26,34,43,9,8
TNS BMRB/, 2012-11-25,31,41,8,10
ComRes/Independent, 2012-11-25,35,42,10,6
YouGov/Sunday Times, 2012-11-23,33,44,9,8
YouGov/Sun, 2012-11-22,31,43,10,9
YouGov/Sun, 2012-11-21,33,41,9,10
YouGov/Sun, 2012-11-20,33,42,10,8
YouGov/Sun, 2012-11-19,32,42,9,9
ICM/Guardian, 2012-11-18,32,40,13,7
TNS BMRB/, 2012-11-16,31,39,11,7
YouGov/Sunday Times, 2012-11-16,33,44,9,8
ComRes/Independent on Sunday (O), 2012-11-16,31,43,10,8
YouGov/Sun, 2012-11-15,33,43,8,9
Opinium/Observer, 2012-11-15,32,39,8,10
YouGov/Sun, 2012-11-14,35,42,8,7
YouGov/Sun, 2012-11-13,34,44,9,7
Ipsos-MORI/Evening Standard, 2012-11-13,32,46,9,3
YouGov/Sun, 2012-11-12,35,39,10,8
TNS BMRB/, 2012-11-12,31,41,9,9
YouGov/Sunday Times, 2012-11-09,32,44,8,8
YouGov/Sun, 2012-11-08,33,44,9,7
YouGov/Sun, 2012-11-07,34,45,8,6
YouGov/Sun, 2012-11-06,35,42,9,7
YouGov/Sun, 2012-11-05,35,44,8,7
TNS BMRB/, 2012-11-05,31,42,9,8
YouGov/Sunday Times, 2012-11-02,35,42,9,7
Opinium/Observer, 2012-11-01,30,41,9,10
YouGov/Sun, 2012-11-01,33,44,9,7
YouGov/Sun, 2012-10-31,33,44,9,8
YouGov/Sun, 2012-10-30,32,44,9,8
YouGov/Sun, 2012-10-29,33,43,9,8
ComRes/Independent, 2012-10-29,33,44,12,5
TNS BMRB/, 2012-10-29,31,42,11,8
YouGov/Sunday Times, 2012-10-26,35,42,9,7
YouGov/Sun, 2012-10-25,33,44,10,6
Ipsos-MORI/Evening Standard, 2012-10-24,33,43,9,6
YouGov/Sun, 2012-10-24,33,43,9,8
YouGov/Sun, 2012-10-23,34,42,9,8
YouGov/Sun, 2012-10-22,32,45,8,8
ICM/Guardian, 2012-10-22,33,41,14,5
TNS BMRB/, 2012-10-22,30,44,8,7
Populus/Times, 2012-10-21,35,40,9,5
Survation/Mail on Sunday, 2012-10-20,30,43,8,12
YouGov/Sunday Times, 2012-10-19,32,43,9,9
ComRes/Independent on Sunday (O), 2012-10-18,33,41,10,9
YouGov/Sun, 2012-10-18,34,42,10,9
Opinium/Observer, 2012-10-18,31,40,9,10
YouGov/Sun, 2012-10-17,33,42,9,7
YouGov/Sun, 2012-10-16,34,43,9,7
YouGov/Sun, 2012-10-15,34,43,9,7
TNS BMRB/, 2012-10-15,29,42,7,10
Angus Reid/Sunday Express, 2012-10-12,31,43,8,8
YouGov/Sunday Times, 2012-10-12,33,43,10,6
YouGov/Sun, 2012-10-11,35,42,8,7
YouGov/Sun, 2012-10-10,34,41,8,10
YouGov/Sun, 2012-10-09,33,45,9,6
YouGov/Sun, 2012-10-08,34,44,8,7
TNS BMRB/, 2012-10-08,31,44,8,8
YouGov/Sunday Times, 2012-10-05,31,45,8,8
Opinium/Observer, 2012-10-04,30,41,9,11
YouGov/Sun, 2012-10-04,32,43,10,8
YouGov/Sun, 2012-10-03,31,45,10,7
YouGov/Sun, 2012-10-02,34,42,9,8
YouGov/Sun, 2012-10-01,34,43,9,8
ComRes/Independent, 2012-09-30,35,38,15,4
Opinium/Observer, 2012-09-28,29,39,10,10
YouGov/Sunday Times, 2012-09-28,35,40,10,7
YouGov/Sun, 2012-09-27,31,43,11,8
YouGov/Sun, 2012-09-26,32,41,9,9
YouGov/Sun, 2012-09-25,31,44,9,9
YouGov/Sun, 2012-09-24,32,43,9,7
ICM/Guardian, 2012-09-23,31,41,14,6
TNS BMRB/, 2012-09-21,28,44,8,7
Opinium/Observer, 2012-09-21,30,42,8,10
Survation/Mail on Sunday, 2012-09-21,29,41,10,12
ComRes/Independent on Sunday (O), 2012-09-21,35,39,10,8
YouGov/Sunday Times, 2012-09-21,34,43,8,8
YouGov/Sun, 2012-09-20,35,41,9,7
Survation/Mirror, 2012-09-20,30,40,10,12
YouGov/Sun, 2012-09-19,33,45,10,7
YouGov/Sun, 2012-09-18,34,43,8,8
Ipsos-MORI/Sky News/Evening Standard, 2012-09-17,30,41,13,8
YouGov/Sun, 2012-09-17,33,45,10,5
Populus/Times, 2012-09-16,30,45,10,6
YouGov/Sunday Times, 2012-09-14,34,44,9,7
YouGov/Sun, 2012-09-13,34,43,8,7
TNS BMRB/, 2012-09-13,31,43,9,5
Opinium/, 2012-09-12,32,40,10,9
YouGov/Sun, 2012-09-12,33,42,11,7
YouGov/Sun, 2012-09-11,31,44,9,8
YouGov/Sun, 2012-09-10,31,42,10,8
TNS BMRB/, 2012-09-10,30,41,12,7
YouGov/Sunday Times, 2012-09-07,33,43,10,7
YouGov/Sun, 2012-09-06,33,45,8,6
YouGov/Sun, 2012-09-05,33,45,8,7
YouGov/Sun, 2012-09-04,34,40,10,7
Opinium/, 2012-09-03,31,42,8,9
TNS BMRB/, 2012-09-03,31,43,10,6
YouGov/Sun, 2012-09-03,33,44,8,7
ComRes/Independent, 2012-09-02,35,42,12,3
YouGov/Sunday Times, 2012-08-31,35,41,9,7
YouGov/Sun, 2012-08-30,33,42,10,8
YouGov/Sun, 2012-08-29,32,44,9,6
YouGov/Sun, 2012-08-28,32,44,10,8
TNS BMRB/, 2012-08-27,31,40,11,5
ICM/Guardian, 2012-08-26,34,39,15,4
Survation/Mail on Sunday, 2012-08-24,30,37,10,12
YouGov/Sunday Times, 2012-08-24,34,43,10,6
YouGov/Sun, 2012-08-23,32,44,10,7
YouGov/Sun, 2012-08-22,33,42,10,6
YouGov/Sun, 2012-08-21,34,44,8,8
YouGov/Sun, 2012-08-20,34,44,8,7
TNS BMRB/, 2012-08-20,32,42,10,7
YouGov/Sunday Times, 2012-08-17,32,43,10,7
ComRes/Independent on Sunday (O), 2012-08-16,33,42,10,8
YouGov/Sun, 2012-08-16,35,44,8,6
YouGov/Sun, 2012-08-15,34,43,10,6
Angus Reid/, 2012-08-15,30,41,11,9
Ipsos-MORI/Evening Standard, 2012-08-15,32,42,11,4
YouGov/Sun, 2012-08-14,34,44,10,7
YouGov/Sun, 2012-08-13,34,42,9,6
YouGov/Sunday Times, 2012-08-10,34,42,8,8
Opinium/, 2012-08-09,31,40,10,10
YouGov/Sun, 2012-08-09,33,43,9,9
YouGov/Sun, 2012-08-08,33,42,11,6
YouGov/Sun, 2012-08-07,33,44,9,8
YouGov/Sun, 2012-08-06,34,44,10,6
YouGov/Sunday Times, 2012-08-03,32,44,10,8
YouGov/Sun, 2012-08-02,33,44,8,9
YouGov/Sun, 2012-08-01,32,43,10,8
YouGov/Sun, 2012-07-31,34,42,10,6
YouGov/Sun, 2012-07-30,33,44,9,7
ComRes/Independent, 2012-07-29,33,44,10,4
YouGov/Sunday Times, 2012-07-27,33,42,9,8
TNS BMRB/, 2012-07-26,30,42,11,
YouGov/Sun, 2012-07-26,33,42,9,8
YouGov/Sun, 2012-07-25,33,44,9,7
YouGov/Sun, 2012-07-24,33,44,9,7
YouGov/Sun, 2012-07-23,33,43,9,8
ICM/Guardian, 2012-07-22,34,39,14,4
YouGov/Sunday Times, 2012-07-20,34,43,11,7
ComRes/Independent on Sunday (O), 2012-07-19,32,42,10,9
YouGov/Sun, 2012-07-19,34,42,9,7
YouGov/Sun, 2012-07-18,33,43,8,7
YouGov/Sun, 2012-07-17,34,43,8,7
Opinium/, 2012-07-16,32,41,9,8
YouGov/Sun, 2012-07-16,33,44,9,8
Ipsos-MORI/Evening Standard, 2012-07-16,31,44,12,5
Populus/Times, 2012-07-15,34,40,12,5
YouGov/Sunday Times, 2012-07-13,34,43,9,7
YouGov/Sun, 2012-07-12,34,42,9,7
YouGov/Sun, 2012-07-11,35,42,9,8
YouGov/Sun, 2012-07-10,33,43,11,6
YouGov/Sun, 2012-07-09,35,44,7,6
YouGov/Sunday Times, 2012-07-06,32,43,8,8
Opinium/, 2012-07-05,30,40,9,9
YouGov/Sun, 2012-07-05,35,43,8,8
YouGov/Sun, 2012-07-04,33,44,8,7
YouGov/Sun, 2012-07-03,35,42,10,7
YouGov/Sun, 2012-07-02,34,44,8,8
ComRes/Independent, 2012-07-01,33,42,13,3
YouGov/Sunday Times, 2012-06-29,34,43,9,6
Opinium/, 2012-06-28,31,42,8,9
YouGov/Sun, 2012-06-28,32,43,10,7
YouGov/Sun, 2012-06-27,31,45,9,7
YouGov/Sun, 2012-06-26,34,42,11,7
YouGov/Sun, 2012-06-25,32,43,11,7
ICM/Guardian, 2012-06-24,34,39,14,3
YouGov/Sunday Times, 2012-06-22,34,43,9,8
YouGov/Sun, 2012-06-21,33,43,8,8
YouGov/Sun, 2012-06-20,34,41,10,8
YouGov/Sun, 2012-06-19,34,44,7,6
YouGov/Sun, 2012-06-18,33,44,7,8
TNS BMRB/, 2012-06-18,32,40,10,9
Populus/Times, 2012-06-17,33,41,9,5
ComRes/Independent on Sunday (O), 2012-06-15,32,42,9,8
YouGov/Sunday Times, 2012-06-15,32,44,9,8
YouGov/Sun, 2012-06-14,31,43,9,8
YouGov/Sun, 2012-06-13,31,43,9,9
YouGov/Sun, 2012-06-12,33,43,8,8
YouGov/Sun, 2012-06-11,31,45,9,9
Ipsos-MORI/Evening Standard, 2012-06-11,31,40,10,6
Opinium/, 2012-06-11,31,42,9,8
YouGov/Sunday Times, 2012-06-08,34,42,7,9
YouGov/Sun, 2012-06-07,34,43,8,6
YouGov/Sun, 2012-06-06,34,43,8,7
YouGov/Sunday Times, 2012-06-01,32,42,8,7
Survation/, 2012-06-01,29,37,13,12
Angus Reid/, 2012-05-31,29,45,9,8
YouGov/Sun, 2012-05-31,31,45,9,8
YouGov/Sun, 2012-05-30,32,44,9,7
YouGov/Sun, 2012-05-29,32,45,8,8
YouGov/Sun, 2012-05-28,33,44,8,7
ComRes/Independent, 2012-05-28,34,42,11,4
YouGov/Sunday Times, 2012-05-25,31,43,8,8
YouGov/Sun, 2012-05-24,34,42,8,7
YouGov/Sun, 2012-05-23,32,42,9,9
YouGov/Sun, 2012-05-22,32,43,8,9
TNS BMRB/, 2012-05-21,30,41,9,10
YouGov/Sun, 2012-05-21,32,44,7,8
Populus/Times, 2012-05-20,33,41,10,5
ICM/Guardian, 2012-05-20,36,41,11,4
YouGov/Sunday Times, 2012-05-18,32,43,8,9
ComRes/Independent on Sunday (O), 2012-05-17,32,41,11,7
Opinium/, 2012-05-17,30,41,9,10
YouGov/Sun, 2012-05-17,31,44,7,9
YouGov/Sun, 2012-05-16,31,45,9,8
YouGov/Sun, 2012-05-15,32,43,8,9
YouGov/Sun, 2012-05-14,31,45,7,8
Ipsos-MORI/Evening Standard, 2012-05-14,33,43,9,6
YouGov/Sunday Times, 2012-05-11,31,43,10,8
YouGov/Sun, 2012-05-10,34,44,7,7
YouGov/Sun, 2012-05-09,31,44,9,8
YouGov/Sun, 2012-05-08,31,44,8,8
TNS BMRB/, 2012-05-07,30,43,10,
YouGov/Sunday Times, 2012-05-04,31,43,9,8
YouGov/Sun, 2012-05-03,32,41,9,9
YouGov/Sun, 2012-05-02,33,43,8,8
YouGov/Sun, 2012-05-01,32,41,9,8
YouGov/Sun, 2012-04-30,35,42,8,7
Opinium/, 2012-04-30,32,39,8,10
Survation/Daily Mirror, 2012-04-27,30,37,13,9
ComRes/Independent (O), 2012-04-27,34,39,10,9
YouGov/Sunday Times, 2012-04-27,29,40,11,10
YouGov/Sun, 2012-04-26,31,43,9,9
YouGov/Sun, 2012-04-25,32,43,9,8
YouGov/Sun, 2012-04-24,32,43,8,8
YouGov/Sun, 2012-04-23,32,45,8,7
Opinium/, 2012-04-23,31,38,11,8
Ipsos-MORI/Evening Standard, 2012-04-23,35,38,12,4
ICM/Guardian, 2012-04-22,33,41,15,3
YouGov/Sunday Times, 2012-04-20,33,41,11,8
ComRes/Independent on Sunday (O), 2012-04-19,34,40,11,6
YouGov/Sun, 2012-04-19,32,45,8,7
YouGov/Sun, 2012-04-18,32,41,10,8
YouGov/Sun, 2012-04-17,32,41,8,9
Opinium/, 2012-04-16,32,37,9,10
YouGov/Sun, 2012-04-16,32,43,8,9
Populus/Times, 2012-04-15,33,42,11,4
Angus Reid/, 2012-04-13,29,41,11,8
YouGov/Sunday Times, 2012-04-13,33,39,10,
YouGov/Sun, 2012-04-12,35,41,9,
TNS BMRB/, 2012-04-11,32,42,10,
YouGov/Sun, 2012-04-11,35,41,8,
YouGov/Sun, 2012-04-10,36,40,9,
Survation/Mail on Sunday, 2012-04-06,30,35,11,
YouGov/Sun, 2012-04-05,33,42,8,
YouGov/Sun, 2012-04-04,32,42,9,
YouGov/Sun, 2012-04-03,34,42,8,
YouGov/Sun, 2012-04-02,33,43,8,
YouGov/Sunday Times, 2012-03-31,33,42,8,
YouGov/Sun, 2012-03-29,34,44,8,
YouGov/Sun, 2012-03-28,34,44,10,
YouGov/Sun, 2012-03-27,33,43,9,
YouGov/Sun, 2012-03-26,35,42,9,
ComRes/Independent, 2012-03-26,33,43,11,
Populus/Times, 2012-03-25,34,38,11,
Survation/Mail on Sunday, 2012-03-24,31,39,11,
ICM/Sunday Telegraph, 2012-03-23,37,38,13,
YouGov/Sunday Times, 2012-03-23,35,42,10,
YouGov/Sun, 2012-03-22,34,42,9,
Opinium/, 2012-03-21,34,39,8,9
YouGov/Sun, 2012-03-21,36,41,10,
YouGov/Sun, 2012-03-20,35,43,9,
Ipsos-MORI/Evening Standard, 2012-03-19,36,37,11,
YouGov/Sun, 2012-03-19,36,42,9,
ICM/Guardian, 2012-03-18,39,36,15,
YouGov/Sunday Times, 2012-03-16,38,40,9,
ComRes/Independent on Sunday (O), 2012-03-15,37,40,10,
YouGov/Sun, 2012-03-15,37,42,8,
YouGov/Sun, 2012-03-14,38,41,9,
YouGov/Sun, 2012-03-13,36,43,9,
YouGov/Sun, 2012-03-12,36,41,9,
Opinium/, 2012-03-12,38,36,10,
YouGov/Sunday Times, 2012-03-09,37,42,9,
YouGov/Sun, 2012-03-08,37,42,8,
Angus Reid/, 2012-03-07,32,40,10,
YouGov/Sun, 2012-03-07,38,41,9,
YouGov/Sun, 2012-03-06,37,41,9,
YouGov/Sun, 2012-03-05,36,41,11,
TNS BMRB/, 2012-03-05,35,38,11,
YouGov/Sunday Times, 2012-03-02,40,39,9,
YouGov/Sun, 2012-03-01,39,39,8,
YouGov/Sun, 2012-02-29,38,40,9,
YouGov/Sun, 2012-02-28,40,39,9,
YouGov/Sun, 2012-02-27,38,40,9,
Ipsos-MORI/Reuters, 2012-02-27,35,41,12,
ComRes/Independent, 2012-02-26,37,40,13,
YouGov/Sunday Times, 2012-02-24,38,40,10,
Opinium/, 2012-02-23,35,39,10,
YouGov/Sun, 2012-02-23,39,38,10,
YouGov/Sun, 2012-02-22,38,40,8,
YouGov/Sun, 2012-02-21,37,41,9,
YouGov/Sun, 2012-02-20,39,38,10,
Populus/Times, 2012-02-19,37,39,11,
ICM/Guardian, 2012-02-19,36,37,14,
YouGov/Sunday Times, 2012-02-17,37,41,7,
ComRes/Independent on Sunday (O), 2012-02-16,39,38,10,
YouGov/Sun, 2012-02-16,39,39,9,
YouGov/Sun, 2012-02-15,39,40,9,
YouGov/Sun, 2012-02-14,40,39,9,
YouGov/Sun, 2012-02-13,38,42,9,
Opinium/, 2012-02-13,36,36,10,
YouGov/Sunday Times, 2012-02-10,38,39,9,
YouGov/Sun, 2012-02-09,38,41,9,
YouGov/Sun, 2012-02-08,40,38,10,
YouGov/Sun, 2012-02-07,37,42,9,
YouGov/Sun, 2012-02-06,41,40,8,
YouGov/Sunday Times, 2012-02-03,39,40,9,
YouGov/Sun, 2012-02-02,39,41,8,
YouGov/Sun, 2012-02-01,38,40,8,
YouGov/Sun, 2012-01-31,39,40,9,
YouGov/Sun, 2012-01-30,40,38,10,
Opinium/, 2012-01-30,38,36,8,
ComRes/Independent, 2012-01-29,37,38,14,
YouGov/Sunday Times, 2012-01-27,39,40,8,
YouGov/Sun, 2012-01-26,39,40,9,
YouGov/Sun, 2012-01-25,38,40,9,
YouGov/Sun, 2012-01-24,40,38,9,
TNS BMRB/, 2012-01-23,37,40,10,
Angus Reid/, 2012-01-23,35,37,11,
YouGov/Sun, 2012-01-23,39,40,8,
Ipsos-MORI/Reuters, 2012-01-23,38,38,12,
Populus/Times, 2012-01-22,37,38,13,
ICM/Guardian, 2012-01-22,40,35,16,
YouGov/Sunday Times, 2012-01-20,41,36,9,
ComRes/Independent on Sunday (O), 2012-01-19,38,38,11,
YouGov/Sun, 2012-01-19,41,38,8,
YouGov/Sun, 2012-01-18,40,39,7,
YouGov/Sun, 2012-01-17,39,40,8,
YouGov/Sun, 2012-01-16,40,40,9,
Opinium/, 2012-01-15,37,37,9,
YouGov/Sunday Times, 2012-01-13,38,40,9,
YouGov/Sun, 2012-01-12,41,40,8,
YouGov/Sun, 2012-01-11,40,38,10,
YouGov/Sun, 2012-01-10,40,40,10,
YouGov/Sun, 2012-01-09,39,41,10,
YouGov/Sunday Times, 2012-01-06,38,40,11,
Opinium/, 2012-01-05,36,37,9,
YouGov/Sun, 2012-01-05,39,41,11,
YouGov/Sun, 2012-01-04,38,42,10,
YouGov/Sun, 2012-01-03,39,41,9,
YouGov/Sun, 2011-12-22,40,40,9,
ICM/Guardian, 2011-12-21,37,36,15,
YouGov/Sun, 2011-12-21,40,40,10,
YouGov/Sun, 2011-12-20,39,40,10,
TNS BMRB/, 2011-12-19,35,38,11,
YouGov/Sun, 2011-12-19,38,42,9,
Populus/Times, 2011-12-18,35,39,12,
YouGov/Sunday Times, 2011-12-16,39,42,9,
ICM/Sunday Telegraph, 2011-12-15,40,34,14,
YouGov/Sun, 2011-12-15,41,40,10,
YouGov/Sun, 2011-12-14,40,38,10,
YouGov/Sun, 2011-12-13,41,39,10,
Ipsos-MORI/Reuters, 2011-12-12,41,39,11,
YouGov/Sun, 2011-12-12,39,40,10,
ComRes/Independent, 2011-12-11,38,38,12,
Survation/Mail on Sunday, 2011-12-10,35,35,14,
YouGov/Sunday Times, 2011-12-09,38,39,11,
ComRes/Independent on Sunday (O), 2011-12-08,36,40,10,
YouGov/Sun, 2011-12-08,36,41,10,
YouGov/Sun, 2011-12-07,35,42,9,
YouGov/Sun, 2011-12-06,37,41,10,
YouGov/Sun, 2011-12-05,36,42,11,
BPIX/Mail on Sunday, 2011-12-03,36,41,11,
YouGov/Sunday Times, 2011-12-02,35,43,9,
YouGov/Sun, 2011-12-01,36,41,11,
ICM/Sunday Telegraph, 2011-11-30,38,36,14,
YouGov/Sun, 2011-11-30,37,42,9,
YouGov/Sun, 2011-11-29,38,41,9,
YouGov/Sun, 2011-11-28,37,39,9,
TNS BMRB/, 2011-11-28,36,39,9,
ComRes/Independent, 2011-11-27,37,39,10,
Survation/Daily Star, 2011-11-25,32,34,12,
YouGov/Sunday Times, 2011-11-25,34,43,11,
YouGov/Sun, 2011-11-24,35,40,9,
YouGov/Sun, 2011-11-23,35,40,11,
YouGov/Sun, 2011-11-22,35,42,9,
Opinium/, 2011-11-21,36,37,9,
Ipsos-MORI/Reuters, 2011-11-21,34,41,12,
YouGov/Sun, 2011-11-21,36,40,9,
Populus/Times, 2011-11-20,33,41,13,
ICM/Guardian, 2011-11-20,36,38,14,
ComRes/Independent on Sunday (O), 2011-11-18,35,39,11,
YouGov/Sunday Times, 2011-11-18,36,40,9,
YouGov/Sun, 2011-11-17,34,40,11,
YouGov/Sun, 2011-11-16,36,41,10,
YouGov/Sun, 2011-11-15,36,42,7,
YouGov/Sun, 2011-11-14,37,40,9,
YouGov/Sunday Times, 2011-11-11,36,41,9,
YouGov/Sun, 2011-11-10,35,42,8,
YouGov/Sun, 2011-11-09,36,40,10,
Survation/Unite, 2011-11-09,38,39,12,
YouGov/Sun, 2011-11-08,35,40,10,
YouGov/Sun, 2011-11-07,36,41,9,
Opinium/, 2011-11-07,34,38,10,
YouGov/Sunday Times, 2011-11-04,35,41,9,
YouGov/Sun, 2011-11-03,36,41,8,
YouGov/Sun, 2011-11-02,37,41,8,
YouGov/Sun, 2011-11-01,35,41,9,
TNS BMRB/, 2011-10-31,36,37,11,
YouGov/Sun, 2011-10-31,39,41,8,
ComRes/Independent, 2011-10-30,34,38,14,
YouGov/Sunday Times, 2011-10-28,36,39,8,
YouGov/Sun, 2011-10-27,35,42,9,
YouGov/Sun, 2011-10-26,35,41,10,
YouGov/Sun, 2011-10-25,36,40,9,
Ipsos-MORI/Reuters, 2011-10-24,34,38,12,
Opinium/, 2011-10-24,33,39,9,
YouGov/Sun, 2011-10-24,36,40,9,
ICM/Guardian, 2011-10-23,35,39,13,
YouGov/Sunday Times, 2011-10-21,36,38,10,
YouGov/Sun, 2011-10-20,36,41,10,
YouGov/Sun, 2011-10-19,35,41,9,
YouGov/Sun, 2011-10-18,38,42,9,
YouGov/Sun, 2011-10-17,37,40,9,
Populus/Times, 2011-10-16,33,41,8,
YouGov/Sunday Times, 2011-10-14,39,42,8,
ComRes/Independent on Sunday (O), 2011-10-13,37,39,10,
YouGov/Sun, 2011-10-13,37,42,9,
YouGov/Sun, 2011-10-12,36,42,9,
YouGov/Sun, 2011-10-11,37,41,8,
Opinium/, 2011-10-10,36,37,8,
YouGov/Sun, 2011-10-10,36,40,11,
YouGov/Sunday Times, 2011-10-07,38,42,9,
YouGov/Sun, 2011-10-06,37,41,10,
YouGov/Sun, 2011-10-05,37,41,9,
YouGov/Sun, 2011-10-04,38,42,9,
YouGov/Sun, 2011-10-03,37,42,9,
Opinium/, 2011-09-30,33,40,9,
YouGov/Sunday Times, 2011-09-30,36,42,10,
YouGov/Sun, 2011-09-29,38,41,9,
YouGov/Sun, 2011-09-28,37,43,9,
YouGov/Sun, 2011-09-27,37,43,8,
YouGov/Sun, 2011-09-26,39,41,8,
ComRes/Independent, 2011-09-24,37,36,12,
YouGov/Sunday Times, 2011-09-23,36,42,11,
YouGov/Sun, 2011-09-22,36,42,10,
ICM/Guardian, 2011-09-21,37,38,14,
YouGov/Sun, 2011-09-21,35,41,9,
YouGov/Sun, 2011-09-20,35,41,10,
YouGov/Sun, 2011-09-19,36,42,10,
ComRes/Independent on Sunday (O), 2011-09-16,38,38,11,
YouGov/Sunday Times, 2011-09-16,36,42,9,
Opinium/, 2011-09-15,33,36,9,
YouGov/Sun, 2011-09-15,38,41,9,
YouGov/Sun, 2011-09-14,37,41,10,
YouGov/Sun, 2011-09-13,35,43,10,
YouGov/Sun, 2011-09-12,37,41,10,
Ipsos-MORI/Reuters, 2011-09-12,35,37,13,
Populus/Times, 2011-09-11,34,38,12,
YouGov/Sunday Times, 2011-09-09,38,41,9,
YouGov/Sun, 2011-09-08,36,42,10,
YouGov/Sun, 2011-09-07,36,42,9,
YouGov/Sun, 2011-09-06,38,40,9,
YouGov/Sun, 2011-09-05,37,43,9,
Opinium/, 2011-09-05,36,37,9,
ComRes/Independent, 2011-09-04,37,38,11,
Angus Reid/, 2011-09-02,33,39,11,
YouGov/Sunday Times, 2011-09-02,38,39,10,
YouGov/Sun, 2011-09-01,36,42,10,
YouGov/Sun, 2011-08-31,37,42,10,
YouGov/Sun, 2011-08-30,39,40,10,
YouGov/Sunday Times, 2011-08-26,38,41,9,
YouGov/Sun, 2011-08-25,37,42,9,
YouGov/Sun, 2011-08-24,36,43,9,
YouGov/Sun, 2011-08-23,37,44,9,
YouGov/Sun, 2011-08-22,35,44,9,
Ipsos-MORI/Reuters, 2011-08-22,34,40,15,
ICM/Guardian, 2011-08-21,37,36,17,
Opinium/, 2011-08-19,37,38,9,
YouGov/Sunday Times, 2011-08-19,36,40,11,
ComRes/Independent on Sunday (O), 2011-08-18,38,40,11,
YouGov/Sun, 2011-08-18,36,44,9,
YouGov/Sun, 2011-08-17,35,44,9,
YouGov/Sun, 2011-08-16,36,42,10,
YouGov/Sun, 2011-08-15,35,43,9,
YouGov/Sunday Times, 2011-08-12,36,43,9,
Opinium/, 2011-08-11,34,38,9,
YouGov/Sun, 2011-08-11,35,43,9,
YouGov/Sun, 2011-08-10,36,43,9,
YouGov/Sun, 2011-08-09,36,43,9,
YouGov/Sun, 2011-08-08,36,44,9,
YouGov/Sunday Times, 2011-08-05,35,44,9,
YouGov/Sun, 2011-08-04,36,42,10,
YouGov/Sun, 2011-08-03,35,43,10,
YouGov/Sun, 2011-08-02,36,45,8,
YouGov/Sun, 2011-08-01,35,42,11,
YouGov/Sunday Times, 2011-07-29,35,44,9,
YouGov/Sun, 2011-07-28,36,42,11,
YouGov/Sun, 2011-07-27,36,43,8,
YouGov/Sun, 2011-07-26,35,44,9,
YouGov/Sun, 2011-07-25,37,41,10,
ComRes/Independent, 2011-07-24,34,40,13,
YouGov/Sunday Times, 2011-07-22,35,43,10,
YouGov/Sun, 2011-07-21,36,44,9,
Angus Reid/, 2011-07-20,34,41,10,
YouGov/Sun, 2011-07-20,35,43,11,
YouGov/Sun, 2011-07-19,36,43,8,
Ipsos-MORI/Reuters, 2011-07-18,32,39,11,
YouGov/Sun, 2011-07-18,37,42,9,
