House,Date,Con,Lab,LD
ICM/Sunday Telegraph, 2006-10-05,38,32,20
ICM/Sunday Mirror, 2006-09-30,36,35,19
YouGov/Telegraph, 2006-09-29,36,36,16
YouGov/Sunday Times, 2006-09-22,37,33,18
YouGov/Telegraph, 2006-09-22,38,31,18
ICM/Guardian, 2006-09-20,36,32,22
ICM/Sunday Mirror, 2006-09-14,37,33,21
YouGov/The Sun, 2006-09-14,38,31,18
BPIX/Mail on Sunday, 2006-09-09,40,30,14
YouGov/Telegraph, 2006-09-07,40,32,17
Ipsos-MORI/Sunday Times, 2006-09-06,35,36,19
Populus/Times, 2006-09-03,36,32,20
YouGov/Telegraph, 2006-08-24,38,31,18
ICM/Guardian, 2006-08-20,40,31,22
YouGov/Telegraph, 2006-07-26,38,33,18
Ipsos-MORI/FT, 2006-07-24,36,32,24
ICM/Guardian, 2006-07-23,39,35,17
Populus/Times, 2006-07-09,36,34,19
BPIX/Mail on Sunday, 2006-07-08,41,31,15
ICM/Sunday Telegraph, 2006-06-29,36,35,18
YouGov/Telegraph, 2006-06-28,39,33,18
Ipsos-MORI/n/a, 2006-06-26,36,33,21
YouGov/Telegraph, 2006-06-23,39,32,17
ICM/Guardian, 2006-06-18,37,32,21
Ipsos-MORI/Observer, 2006-06-18,41,34,18
Populus/Times, 2006-06-04,37,34,18
Ipsos-MORI/Sun, 2006-05-30,41,31,18
YouGov/Telegraph, 2006-05-25,38,32,16
ICM/Guardian, 2006-05-21,38,34,20
YouGov/Telegraph, 2006-05-09,37,31,17
Populus/Times, 2006-05-07,38,30,20
Ipsos-MORI/FT, 2006-05-02,36,32,21
BPIX/Mail on Sunday, 2006-04-29,35,32,19
YouGov/Telegraph, 2006-04-28,35,32,18
ICM/Guardian, 2006-04-23,34,32,24
Ipsos-MORI/Sun, 2006-04-22,30,30,25
YouGov/Telegraph, 2006-04-20,33,35,17
BPIX/Mail on Sunday, 2006-04-08,37,36,17
ICM/Channel 4 News, 2006-04-06,35,35,21
Populus/Times, 2006-04-02,34,36,21
YouGov/Telegraph, 2006-03-29,36,36,18
Ipsos-MORI/n/a, 2006-03-21,34,39,19
ICM/Sunday Telegraph, 2006-03-18,33,37,21
YouGov/Sunday Times, 2006-03-17,38,35,19
ICM/Guardian, 2006-03-12,34,37,21
Populus/Times, 2006-03-05,35,35,20
BPIX/Mail on Sunday, 2006-03-04,39,37,16
YouGov/Telegraph, 2006-02-22,38,36,18
Ipsos-MORI/the Sun, 2006-02-20,35,38,20
ICM/Guardian, 2006-02-19,37,34,21
YouGov/Sunday Times, 2006-02-10,37,39,15
Populus/Times, 2006-02-05,37,36,18
YouGov/Telegraph, 2006-01-26,39,40,13
Ipsos-MORI/FT, 2006-01-23,40,38,17
ICM/Guardian, 2006-01-22,37,36,19
Ipsos-MORI/Sun, 2006-01-17,39,39,15
ICM/News of the World, 2006-01-12,39,35,20
Populus/Times, 2006-01-08,36,39,16
BPIX/Mail on Sunday, 2006-01-07,38,38,16
2005,,,,
ICM/Guardian, 2005-12-18,37,36,21
YouGov/Telegraph, 2005-12-15,38,36,18
Ipsos-MORI/Observer, 2005-12-12,40,31,21
Populus/Times, 2005-12-11,35,38,19
BPIX/Mail on Sunday, 2005-12-09,37,38,17
YouGov/Sunday Times, 2005-12-08,37,36,18
ICM/Sunday Telegraph, 2005-12-08,37,35,21
YouGov/Sky News, 2005-12-06,36,36,18
YouGov/Telegraph, 2005-11-24,35,37,20
Ipsos-MORI/Observer, 2005-11-22,32,42,19
ICM/Guardian, 2005-11-18,33,38,19
Populus/Times, 2005-11-06,32,40,19
BPIX/Mail on Sunday, 2005-11-05,35,37,20
YouGov/Telegraph, 2005-10-27,32,40,19
Ipsos-MORI/Observer, 2005-10-25,34,40,21
ICM/Guardian, 2005-10-20,33,36,22
BPIX/Mail on Sunday, 2005-10-15,33,41,18
Populus/Times, 2005-10-09,30,40,21
ICM/News of the World, 2005-10-06,33,38,22
YouGov/Telegraph, 2005-09-29,32,40,20
Ipsos-MORI/, 2005-09-26,29,39,25
ICM/Guardian, 2005-09-17,31,40,21
YouGov/Sunday Times, 2005-09-09,32,37,21
Populus/Times, 2005-09-04,35,37,20
YouGov/Telegraph, 2005-08-24,33,40,20
Ipsos-MORI/, 2005-08-15,31,39,24
ICM/Guardian, 2005-08-14,31,38,22
YouGov/Telegraph, 2005-07-28,31,40,21
Populus/Times, 2005-07-24,28,40,22
Ipsos-MORI/Observer, 2005-07-18,28,41,25
ICM/Guardian, 2005-07-17,31,39,23
YouGov/Telegraph, 2005-06-30,33,38,20
Ipsos-MORI/, 2005-06-20,29,42,21
ICM/Guardian, 2005-06-19,31,38,23
YouGov/Telegraph, 2005-05-26,31,38,23
Ipsos-MORI/FT, 2005-05-23,30,37,26
